resid,Gender,Color
1,M,3
2,M,3
3,M,1
4,M,1
5,F,4
6,F,4
7,F,4
8,F,5
9,M,1
10,M,5
11,M,3
12,M,3
13,F,2
14,F,4
15,F,5
16,F,1
17,F,1
18,F,2
19,M,2
20,M,4
21,M,4
22,M,1
23,M,2
24,M,2
25,M,1
26,F,1
27,F,4
28,F,1
29,F,5
30,F,2
31,F,3
32,M,2
33,M,2
34,M,4
35,M,5
36,M,2
37,F,4
38,M,1
39,M,1
40,F,1
41,F,2
42,F,4
43,F,3
44,F,2
45,F,4
46,F,3
47,M,4
48,M,1
49,M,1
50,M,5
51,M,5
52,M,2
53,M,4
54,M,1
55,M,1
56,M,1
57,M,4
58,F,3
59,F,3
60,F,4
61,F,3
62,F,1
63,F,3
64,F,4
65,F,2
66,M,2
67,M,1
68,M,2
69,M,4
70,M,1
71,M,3
72,M,4
73,M,2
