SN,Gender,AGE,Recency_Service,Recency_Product,Bill_Service,Bill_Product,Review,Success
1,1,<=45,12,11,11.82,2.68,The product quality is low. Service is quite slow and costly,0
2,2,<=30,6,0,10.31,1.32,Unhappy with staff. Product is poor.,0
3,1,<=30,1,9,7.43,0.49,The products recommended by the clinic caused irritation and breakouts.,0
5,2,<=30,0,11,4.56,1.01,Happy with the product quality . Service is as expected.,1
6,2,<=30,1,2,18.99,0.44,The clinic provided a comprehensive consultation that addressed all my concerns,1
9,1,<=45,14,8,41.55,15.97,Worth to recommend,1
18,2,<=30,13,1,8.33,1.87,Good staff and quality service.,1
20,1,<=45,4,3,28.94,1.6,I felt very comfortable and well-cared-for during my visit,1
22,1,<=45,1,0,5.37,1.26,,1
26,2,<=45,15,0,13.55,4.15,"Bad,poor and do not go.",0
27,2,<=55,27,22,13.17,5.25,Not happy at all..quite bad experience.,0
28,2,<=55,18,14,6.86,16.38,I noticed a significant reduction in my skin issues after visiting the clinic,1
29,2,<=45,12,3,18.26,5.77,,0
30,1,<=55,19,25,3.1,1.64,Nooecan not go again.,0
31,1,<=30,2,8,10.31,2.5,unhappy for sure. Costly.,0
32,1,<=30,0,2,11.87,1.45,,1
33,1,<=45,6,8,3.63,1.38,,0
34,1,<=45,6,19,20.72,3.46,I always look forward to my appointments because of the wonderful service.,1
35,2,<=30,0,8,16.63,1.26,happy with the product quality . ,1
36,1,<=45,7,2,6.66,1.78,,0
37,1,<=45,21,21,6.61,1.53,The cost is toooo high. ,0
38,2,<=45,13,11,19.86,6.81,The results of my treatment exceeded my expectations.,1
39,2,<=55,19,25,4.93,1.01,,0
40,1,<=30,1,0,5.72,0.77,Poor service ..poor quality.,0
41,1,<=30,6,2,5.69,0.34,The products recommended by the clinic caused irritation ,0
42,1,<=45,11,2,3.79,0.17,,0
43,1,<=45,15,19,4.91,0.74,The quality is ok but costly.,0
44,2,<=55,24,14,10.2,4.22,,0
45,2,<=45,1,8,13.43,1.45,Nice and clean ,1
46,2,<=45,7,5,15.46,1.56,Waste of time and money.,0
47,2,<=45,11,8,1.36,0.84,,0
48,2,<=45,20,17,1.81,0.37,Very slow service and lesser quality.,0
49,2,<=45,12,10,5.88,0.63,,0
50,2,<=45,11,4,23.93,5.6,Very good and clean. Will go again for sure.,1
51,2,<=45,7,2,12.94,0.63,Waste of time and money.,0
52,1,<=45,12,12,3.65,0.53,Poor experience least to say.,0
53,1,<=30,8,6,12.54,1.14,,0
54,1,<=45,9,16,7.95,0.7,It is ok. Nothing great.,0
56,2,<=55,21,3,21.36,7.65,,0
57,2,<=45,3,2,10.04,1.41,I will not go again. Better to find another.,0
58,2,<=30,6,2,5.13,0.9,,0
59,2,<=45,20,2,2.06,1.43,The products recommended by the clinic caused irritation.,0
60,2,<=45,8,16,1.12,0.95,,0
61,2,<=55,4,18,6.35,2.96,It was ok ok. ,0
62,2,<=45,22,9,14.83,3.98,Costly..costly..costly,0
63,1,<=30,3,4,6.9,1.43,,0
64,1,<=30,0,4,9.24,0.66,,0
65,1,<=30,1,1,7.38,1.1,"Huge cost, arrogant staff.",0
66,1,<=45,13,5,9.57,0.77,,0
68,2,<=55,22,23,12.41,3.3,,0
69,1,<=30,5,7,19.06,2.15,Only for very rich people.,0
132,1,<=55,5,6,10.62,0.41,,0
133,1,<=45,8,17,3.76,1.25,can they explian the high cost?,0
136,1,<=45,20,9,31.5,4.76,,0
137,2,<=55,10,14,6.06,1.36,very very costly. Worth once a year.,0
139,1,<=45,8,0,1.69,0.99,,0
140,1,<=45,7,6,6.42,0.59,It is double costly than other clincs with lesser quality.,0
142,1,<=45,10,4,3.2,0.4,,0
143,2,<=55,0,10,6.92,1.09,,0
146,2,<=55,14,9,7.84,1.13,My appointment was rescheduled.,0
147,2,<=45,9,8,9.73,0.54,,0
148,2,<=45,3,18,4.16,0.56,,0
149,2,<=45,8,2,4.34,1.59,"Huge cost, arrogant staff.",0
150,2,<=55,19,22,8.63,2.87,,0
151,1,<=45,2,10,10.13,1.79,,0
152,1,<=45,0,17,9.75,0.73,,0
154,1,<=45,6,5,11.77,2.55,"The staff needs training, unhappy.",0
155,2,<=30,1,8,11.66,1.53,,0
156,2,<=45,4,15,7.62,1.21,,0
157,2,<=30,9,3,1.51,0.51,,0
158,2,<=45,16,4,20.06,4.37,"My appointment was delayed, and the clinic seemed disorganized.",0
159,2,<=30,1,4,3.5,0.26,,0
160,2,<=55,16,32,1.79,1.38,,0
161,2,<=55,12,6,7.65,3.68,Too much itching after using products.,0
162,1,<=45,15,2,5.48,1.08,,0
163,1,<=45,5,17,25.09,1.99,,0
164,1,<=55,25,15,11.51,5.3,,0
166,1,<=30,10,6,17.78,2.1,"My appointment was delayed, and the clinic seemed disorganized.",0
167,2,<=45,12,13,7.91,2.08,,0
169,1,<=55,7,24,9.81,1.23,,0
171,2,<=45,2,9,5.42,0.87,Low level product quality and service.,0
172,1,<=45,15,16,2.65,0.58,,0
173,1,<=30,1,1,1.27,0.05,My appointment was delayed.,0
174,1,<=45,8,19,5.63,1.81,,0
175,1,<=30,7,3,5.51,0.54,It was useless for skin and very high cost.,0
176,2,<=45,15,11,19.43,1.96,Gave me many heat rashes.,0
177,2,<=45,1,4,8.17,1.74,,0
178,2,<=30,3,4,13.89,2.07,,0
179,2,<=45,8,6,4.94,1.16,My appointment was canceled.,0
181,2,<=55,16,15,11.87,2.6,,0
182,2,<=30,3,5,13.62,2.15,Very sad to state that it was disappointing.,0
183,2,<=55,7,17,15.77,5.29,,0
184,1,<=45,13,18,6.54,1.09,,0
185,1,<=45,19,5,13.49,2.36,Quite bad for skin. Many rashes.,0
334,1,<=45,0,4,3.71,0.77,I will surely go again. It was nice experience,1
338,1,<=55,13,21,31.03,6.6,,1
339,1,<=30,2,4,3.45,0.97,I felt very comfortable and well-cared-for during my visit,1
342,2,<=30,2,0,15.43,2.5,The results of my treatment was excellent,1
355,2,<=30,2,0,17.74,2.27,,1
356,2,<=45,5,0,15.5,3.06,I am loyal customer fro sure.,1
357,2,<=55,10,18,12.07,2.12,The professionals at the clinic are truly experts in their field.,1
448,1,<=30,0,6,12.78,2.4,,1
451,1,<=45,16,14,37.05,7.57,"The clinic's environment is clean, modern, and relaxing",1
454,2,<=45,1,3,15.59,2.22,,1
457,2,<=30,0,2,33.76,3.18,,1
460,1,<=30,6,7,5.26,1.02,The ambiance of the clinic is very soothing and pleasant.,1
464,2,<=30,0,6,8.3,2.55,,1
536,1,<=55,7,7,7.05,1.48,I am extremely satisfied with the level of care I received.,1
537,1,<=45,0,6,6.69,0.72,,1
541,2,<=30,2,0,15.26,1.45,,1
542,2,<=55,14,24,6.66,2.64,The ambiance of the clinic is pleasant.,1
545,2,<=45,0,5,11.22,1.61,,1
546,2,<=55,10,3,15.45,1.61,The clinic's advanced technology made my treatment quick and painless.,1
547,1,<=30,3,0,9.23,0.7,,1
